"img1","img2","similarity"
"beach3.jpg","beach2.jpg",1
"beach3.jpg","beach13.jpg",0
"beach3.jpg","beach20.jpg",0
"beach3.jpg","beach5.jpg",0
"beach3.jpg","beach7.jpg",0
"beach3.jpg","beach8.jpg",0
"beach3.jpg","beach4.jpg",0
"beach3.jpg","beach11.jpg",0.25
"beach3.jpg","beach6.jpg",0
"beach3.jpg","beach9.jpg",1
"beach3.jpg","beach18.jpg",0
"beach3.jpg","beach19.jpg",1
"beach3.jpg","beach17.jpg",0
"beach3.jpg","beach15.jpg",0
"beach3.jpg","beach22.jpg",0
"beach3.jpg","beach12.jpg",0.333333333333333
"beach3.jpg","beach1.jpg",0.5
"beach3.jpg","beach0.jpg",0
"beach3.jpg","beach14.jpg",0
"beach3.jpg","beach21.jpg",0.5
"beach3.jpg","beach23.jpg",0.75
"beach3.jpg","beach16.jpg",0
"beach3.jpg","beach10.jpg",1
"beach2.jpg","beach3.jpg",1
"beach2.jpg","beach13.jpg",1
"beach2.jpg","beach20.jpg",1
"beach2.jpg","beach5.jpg",0.5
"beach2.jpg","beach7.jpg",1
"beach2.jpg","beach8.jpg",0
"beach2.jpg","beach4.jpg",0.333333333333333
"beach2.jpg","beach11.jpg",0
"beach2.jpg","beach6.jpg",0
"beach2.jpg","beach9.jpg",0
"beach2.jpg","beach18.jpg",0.75
"beach2.jpg","beach19.jpg",0
"beach2.jpg","beach17.jpg",0
"beach2.jpg","beach15.jpg",NA
"beach2.jpg","beach22.jpg",NA
"beach2.jpg","beach12.jpg",0.5
"beach2.jpg","beach1.jpg",NA
"beach2.jpg","beach0.jpg",0
"beach2.jpg","beach14.jpg",0
"beach2.jpg","beach21.jpg",0
"beach2.jpg","beach23.jpg",0
"beach2.jpg","beach16.jpg",1
"beach2.jpg","beach10.jpg",0
"beach13.jpg","beach3.jpg",0
"beach13.jpg","beach2.jpg",1
"beach13.jpg","beach20.jpg",0.666666666666667
"beach13.jpg","beach5.jpg",0
"beach13.jpg","beach7.jpg",1
"beach13.jpg","beach8.jpg",0
"beach13.jpg","beach4.jpg",0.5
"beach13.jpg","beach11.jpg",NA
"beach13.jpg","beach6.jpg",1
"beach13.jpg","beach9.jpg",0
"beach13.jpg","beach18.jpg",1
"beach13.jpg","beach19.jpg",1
"beach13.jpg","beach17.jpg",0.285714285714286
"beach13.jpg","beach15.jpg",0
"beach13.jpg","beach22.jpg",0.333333333333333
"beach13.jpg","beach12.jpg",0.666666666666667
"beach13.jpg","beach1.jpg",0
"beach13.jpg","beach0.jpg",0
"beach13.jpg","beach14.jpg",0
"beach13.jpg","beach21.jpg",0
"beach13.jpg","beach23.jpg",0
"beach13.jpg","beach16.jpg",1
"beach13.jpg","beach10.jpg",0
"beach20.jpg","beach3.jpg",0
"beach20.jpg","beach2.jpg",1
"beach20.jpg","beach13.jpg",0.666666666666667
"beach20.jpg","beach5.jpg",1
"beach20.jpg","beach7.jpg",0.5
"beach20.jpg","beach8.jpg",0.5
"beach20.jpg","beach4.jpg",NA
"beach20.jpg","beach11.jpg",0
"beach20.jpg","beach6.jpg",1
"beach20.jpg","beach9.jpg",0
"beach20.jpg","beach18.jpg",0.75
"beach20.jpg","beach19.jpg",1
